ticker,end_period_ts,end_period_utc,interval_min,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,volume,open_interest
KXHIGHLAX-25JUL02-B72.5,1751470020,2025-07-02T15:27:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1200,0.1200,0.1200,0.1200,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751470080,2025-07-02T15:28:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1200,0.1300,0.1200,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751470320,2025-07-02T15:32:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751470380,2025-07-02T15:33:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751470560,2025-07-02T15:36:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751470620,2025-07-02T15:37:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751470680,2025-07-02T15:38:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751470740,2025-07-02T15:39:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751470800,2025-07-02T15:40:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1300,0.1400,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751470860,2025-07-02T15:41:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
